Nível de Utilização [%];Potência instalada [kVA];Coordenadas Geográficas
20%-39%;100;39.1655203456645, -8.81433376943304
0%-19%;50;39.315776418312, -8.43821350896913
40%-59%;160;39.0272830363886, -8.78159684461907
60%-79%;100;39.6304099671061, -8.19330546824485
0%-19%;100;39.3629349051296, -8.14117924666851
40%-59%;800;38.7083890644903, -8.95337338496764
40%-59%;100;41.0119164425187, -7.65876440421296
20%-39%;400;41.0018245972254, -8.55272350457575
40%-59%;160;40.536462790446, -8.47062184231149
20%-39%;250;40.5947203482691, -8.60953353145464
60%-79%;100;40.2454236207417, -8.60576547857939
40%-59%;630;37.1794373404646, -7.44973336993421
40%-59%;400;38.8168550235178, -9.16595787177817
80%-99%;50;39.0214032886722, -9.16419238290821
40%-59%;250;41.2579638494202, -8.66513593023724
0%-19%;630;41.2049457067032, -8.614301828751
60%-79%;630;41.1850295379367, -8.68845584933421
60%-79%;630;37.0332968797477, -7.96012149836432
20%-39%;630;41.1588815989033, -8.64717363544813
80%-99%;100;38.9225349381882, -8.8692760966403
+100%;400;38.5795346734405, -9.15633929564799
20%-39%;630;38.6489706054775, -9.06406573651586
60%-79%;160;41.3325864362602, -7.6334592948525
0%-19%;100;40.4038549411894, -8.32816576148181
60%-79%;100;40.6645346475644, -7.74403410207292
80%-99%;160;41.380488020493, -8.59958658997374
40%-59%;50;40.1931436448776, -8.10267803634284
20%-39%;400;40.3528130201894, -7.08029736273021
20%-39%;100;40.600417900325, -7.10482437216452
40%-59%;630;38.709093692862, -9.39690156324233
40%-59%;100;39.6099595800146, -8.895549726071
+100%;500;38.7500231531352, -9.29045578050482
20%-39%;50;37.4437739248917, -8.48748983974988
60%-79%;50;39.8351355880449, -8.10870065879118
0%-19%;400;41.3371630604662, -8.71427535317231
20%-39%;315;37.9628713671796, -8.87066304187542
80%-99%;250;38.6474036043807, -9.17447790145344
40%-59%;400;38.6499005410422, -9.14625140119091
80%-99%;400;37.512239200921, -8.06203843339478
60%-79%;160;40.7644070670479, -8.58024363574831
20%-39%;250;40.507639837118, -8.55573164054884
20%-39%;400;41.480861557476, -8.26219792467168
80%-99%;250;41.4361758094645, -8.28507640020664
20%-39%;100;40.0715423477702, -8.60192564730663
0%-19%;250;40.174390661748, -8.45482575163147
20%-39%;250;40.1241598200313, -8.21583700421878
0%-19%;50;41.017874718738, -7.29615816895119
0%-19%;100;40.420316398165, -7.28264825341021
20%-39%;160;39.294031754342, -9.03763601837347
20%-39%;630;41.1932967925954, -8.69991105891611
40%-59%;630;41.2218906237692, -8.61200268829946
20%-39%;500;41.2334788150189, -8.64025682202335
20%-39%;100;40.8840386235541, -8.34551640232568
40%-59%;400;40.2321806481414, -8.43800418229954
0%-19%;100;40.1183480895844, -7.11336055855944
60%-79%;100;37.2089213872012, -8.39013564024904
40%-59%;400;41.3850805894462, -8.77092193667006
0%-19%;400;41.2043155732359, -8.49701332672522
40%-59%;250;38.6875282955674, -8.68465730500661
40%-59%;100;40.728847497644, -8.07431377721513
40%-59%;250;40.1026144901695, -8.3280043042437
20%-39%;250;40.4068751686704, -7.53341985904869
40%-59%;50;39.8922651827281, -8.35820473904785
0%-19%;320;38.7527235065101, -9.14436551571404
20%-39%;1260;38.7873333090319, -9.31788775145803
0%-19%;100;39.0337005757049, -7.03997289353005
40%-59%;100;39.4905646928038, -7.98728748838292
60%-79%;160;41.3012315213795, -8.14067844315665
40%-59%;630;38.0111281745931, -7.85421645448574
40%-59%;630;41.5289116335841, -8.41752713522036
20%-39%;100;37.2106297596919, -7.98985453097763
20%-39%;50;37.2478738523926, -7.85263995542836
40%-59%;100;41.4637583721434, -7.68153561645765
40%-59%;100;40.6978279957287, -7.80578231800051
20%-39%;100;40.6306196034246, -8.57157781643988
20%-39%;400;40.9875864912255, -8.62172356549858
+100%;50;40.6376160078306, -8.58911358860498
+100%;100;41.5642964370136, -8.49634725931649
40%-59%;100;40.4022376324643, -7.87298056664949
20%-39%;50;40.0676958739787, -8.58768246195384
0%-19%;100;39.8729944220852, -8.44557261466912
80%-99%;100;39.2694985544907, -9.2677409299595
0%-19%;630;38.6944743893533, -9.29151774756331
60%-79%;160;38.9164571421041, -9.29680246604366
20%-39%;630;38.7897048198643, -9.1913238968912
0%-19%;400;41.2273356984794, -8.6214358796887
20%-39%;400;41.1961445284113, -8.70868564560574
0%-19%;630;41.1903739088506, -8.63652924733574
0%-19%;630;38.0181526731562, -7.86848572738509
60%-79%;50;40.2623217171902, -7.43290660896677
20%-39%;50;39.6372567598846, -7.83121740835846
0%-19%;630;40.3027191526669, -7.46616022823042
20%-39%;1260;37.0852544816952, -8.26811513070266
0%-19%;630;37.1372775807601, -8.54459590172622
0%-19%;630;41.1337051279566, -8.60557962792872
0%-19%;630;38.9404284213331, -8.49731083016348
20%-39%;100;39.7508327959065, -8.64127614850809
20%-39%;160;38.6581957077688, -8.77923394743328
20%-39%;500;38.6402403795271, -9.1498568759727
40%-59%;160;38.1223295982186, -8.60368690562103
40%-59%;630;38.6547006492974, -8.98999697993437
20%-39%;50;41.1840204351523, -7.82277713389736
40%-59%;100;40.7573936301597, -8.0738518629509
0%-19%;630;41.0157626723822, -8.63361479596292
40%-59%;400;40.8917125115151, -8.45857642363176
0%-19%;100;40.9604553479776, -8.17546261034804
40%-59%;250;41.4294103876064, -8.2964378533029
40%-59%;160;41.4744948956207, -8.28667155328674
0%-19%;100;40.3836256094547, -8.03269729186658
20%-39%;250;40.1611445669483, -8.1962564224266
40%-59%;250;40.5394313162183, -7.26278372926939
40%-59%;100;39.391977747583, -9.01729051984958
20%-39%;400;39.6850365136393, -8.89438985170801
20%-39%;100;39.9702693258667, -8.80099809482414
0%-19%;630;38.7509436896868, -9.19284079091957
80%-99%;100;41.0705102662794, -8.26778141658776
40%-59%;400;41.0743304349492, -8.26829767564669
40%-59%;400;39.8217096120949, -7.50431916179001
20%-39%;1260;40.3612135394216, -8.60842319683002
40%-59%;100;40.2577949479761, -7.61979411256276
0%-19%;50;37.3330847766073, -8.2878820570704
40%-59%;250;41.1857849818699, -8.47351524625236
40%-59%;400;41.2148503083782, -8.55750626455077
0%-19%;250;39.3853445290552, -8.50326750779874
20%-39%;160;41.4758019500137, -7.9161896178364
60%-79%;100;40.9375994820055, -7.56257381959255
20%-39%;100;40.8407133491365, -8.46209292870164
40%-59%;250;40.7515771865432, -8.63363474148224
20%-39%;630;40.7034611553369, -8.49637850306544
20%-39%;1890;41.4048159552793, -8.51690146771894
40%-59%;400;38.7036787131723, -7.39967981411954
60%-79%;100;40.3907680679137, -8.70554192411272
60%-79%;100;39.5117447639221, -9.06078700859202
40%-59%;250;37.1872525194124, -7.4527572118349
40%-59%;100;39.8310841615367, -8.54230271994964
20%-39%;400;38.9298526453306, -9.23512117800614
60%-79%;630;38.7684927677762, -9.21947283116958
40%-59%;250;41.3652802438453, -8.20850658368522
40%-59%;160;41.5967085356354, -8.63077589373588
40%-59%;50;39.8571644873707, -7.29264392045701
20%-39%;100;40.1190525524574, -8.38900351369737
40%-59%;250;37.1722365406608, -8.55209411458735
40%-59%;250;41.2369949143335, -8.524657679112
0%-19%;630;41.1118109252165, -8.62206745898167
40%-59%;100;39.6082712916127, -8.25494089138276
20%-39%;400;42.0765438202356, -8.47835977933839
40%-59%;100;41.7286110999866, -7.44293004957761
20%-39%;100;40.5794897915632, -7.13051708631598
0%-19%;50;40.957289840842, -7.48226957795906
60%-79%;160;40.9320382842335, -8.36914015996983
0%-19%;400;40.9251369375982, -8.54509052149169
40%-59%;400;40.9251306147658, -8.48073258405189
20%-39%;160;41.5016610424801, -8.46790214223098
40%-59%;630;41.4431152452039, -8.29148390917338
40%-59%;160;40.2173627947841, -8.81151809399841
20%-39%;100;40.4629303520041, -7.12777211677879
20%-39%;160;39.5387677566235, -8.92092186688627
60%-79%;315;39.5861287541628, -9.02834757877684
60%-79%;100;39.9301499758227, -8.65823589380525
60%-79%;160;41.1953291481109, -8.53844689145856
20%-39%;630;39.8262508400321, -7.49072444437481
40%-59%;250;40.1912547152668, -8.45773845996641
40%-59%;100;37.1258952837234, -8.36138406247568
40%-59%;160;41.3506757985589, -8.43465986593769
80%-99%;160;41.4597632737153, -8.76014051056586
40%-59%;400;41.176698628971, -8.61443722895018
20%-39%;630;39.2114125438311, -8.61376877001089
60%-79%;100;41.9061627214034, -7.89620365524562
40%-59%;100;40.3590236883397, -8.13911125444608
40%-59%;160;40.8521491893754, -8.57739807199204
0%-19%;400;41.7534507023182, -8.20116867793505
20%-39%;630;38.8452291167773, -7.58369745389812
0%-19%;630;38.7419996749477, -9.33318252690559
60%-79%;400;38.769639491762, -9.38158018974131
0%-19%;630;38.8080886968572, -9.18950426836164
20%-39%;250;38.8244628693077, -9.23531484500595
40%-59%;100;39.4881863807891, -7.96666396715755
0%-19%;250;41.2552129546957, -8.36961820021414
40%-59%;50;39.3061877694063, -7.46155073487656
40%-59%;250;41.1831564092581, -8.66138890877986
60%-79%;160;41.0724962282243, -8.27815827275118
20%-39%;250;41.331778866029, -8.31860669170584
60%-79%;400;41.6274350419499, -8.36757204024858
40%-59%;400;40.2343333703771, -7.44751895909401
20%-39%;160;39.8737207937764, -8.13677788677714
60%-79%;800;37.0779091857566, -8.11735374956006
0%-19%;250;37.1013819026677, -8.31542898664563
20%-39%;630;41.1521887714436, -8.65127244968224
40%-59%;100;39.0038906028437, -8.76039571193335
40%-59%;100;39.1345459188713, -8.86762551718184
60%-79%;160;39.3162467357686, -8.73006639796393
20%-39%;100;39.7339371460525, -7.97912183824609
40%-59%;250;38.7084151090612, -8.75118101187623
20%-39%;100;40.6132140963778, -8.19906470731975
40%-59%;250;40.5813964918675, -8.40131425729045
20%-39%;250;41.0602519004969, -8.27097074089525
80%-99%;100;39.4714318964828, -9.0924722591244
80%-99%;100;39.2792128805715, -9.0756289238864
20%-39%;630;38.7229189873405, -9.34326199795245
0%-19%;1030;39.7579446483465, -8.79363752008397
0%-19%;630;38.9278500138943, -9.25584584610741
20%-39%;630;38.7118801512429, -9.17539857570476
40%-59%;630;38.8672429283154, -9.42276969496169
20%-39%;630;41.2209480824283, -8.25577305671986
40%-59%;50;37.5264409354244, -7.60047509524911
20%-39%;100;37.5782005727761, -8.29999202402071
20%-39%;400;41.3060374228009, -7.15019167981235
0%-19%;2520;39.8168069629841, -7.52004491892625
60%-79%;100;39.2485711948668, -8.85166199644379
40%-59%;400;38.6258145257452, -9.12478492145378
0%-19%;400;38.0585646261955, -8.78510602920448
40%-59%;100;41.2185869458655, -7.5623871085374
0%-19%;400;40.9476495800567, -8.57529047240207
20%-39%;100;40.9726043258076, -8.37520003749628
40%-59%;160;41.5493666445846, -8.37975655986628
40%-59%;630;38.7117490047296, -7.89655800381192
60%-79%;40;40.9169906037862, -7.33444998301903
20%-39%;400;38.7400728553314, -9.101868186076
40%-59%;630;38.9492434326741, -9.32982911258967
40%-59%;100;41.2622925607146, -7.99683356822612
20%-39%;400;41.2250206049729, -8.61348030437427
80%-99%;50;40.3928363148718, -8.67812462238875
0%-19%;100;40.2676257005887, -7.63599544812829
40%-59%;100;37.1468165159868, -8.49930521604422
20%-39%;100;37.2395687842041, -8.83305665437686
80%-99%;250;39.1526196618373, -8.78718231450341
0%-19%;250;38.5000814525079, -9.15959746072575
20%-39%;630;38.6748259640959, -9.16169091201249
0%-19%;250;38.4862337011475, -8.35829300196629
40%-59%;400;38.3709540537955, -8.51337986037421
40%-59%;160;40.5740117410359, -7.88805173473845
80%-99%;50;40.7787535328652, -8.39254391319065
60%-79%;400;41.4786122990184, -8.33209013372398
60%-79%;250;41.6311348908309, -8.19898583397354
40%-59%;250;40.3241315441707, -7.69153064480075
20%-39%;250;40.0198313177462, -8.5823568986816
20%-39%;1260;38.7373819445236, -9.14764752078067
20%-39%;630;38.757479098039, -9.18842584108611
20%-39%;630;38.8057380724154, -9.12373291537354
0%-19%;1260;38.7771238682175, -9.09303147563618
40%-59%;250;39.0486776650002, -9.34208132323596
40%-59%;630;41.2231374631053, -8.60945972791612
20%-39%;250;41.1856586734874, -8.57975313984604
20%-39%;630;41.5304952970844, -8.62705437853925
0%-19%;50;37.4100678339342, -7.91728873221601
40%-59%;100;37.4961907800016, -8.716067368159
0%-19%;400;41.3768236829743, -8.71617515193187
60%-79%;630;38.6449372299443, -9.05877042599506
40%-59%;250;38.5349824250541, -8.81801297852292
60%-79%;100;41.6461487084078, -7.94856460416953
20%-39%;100;41.7853012940785, -7.73886794932903
0%-19%;160;41.7244567045575, -8.85967448323755
20%-39%;160;42.0309648183615, -8.61946758064107
0%-19%;160;41.8609408600292, -8.41086727953381
40%-59%;100;40.5381152666406, -8.13112578270665
20%-39%;400;40.5972812077786, -7.75618095658374
40%-59%;160;40.9224156921485, -8.42163065309262
20%-39%;630;40.7539452029963, -8.56633688068923
60%-79%;100;41.6415543659639, -6.34956699919641
0%-19%;400;40.2124391384835, -8.42960539442107
40%-59%;100;40.2315680723869, -8.70270450112011
20%-39%;100;40.6039442310292, -7.07693813105873
60%-79%;160;39.6670367220508, -8.85979516461196
20%-39%;160;39.8878996953847, -8.74653809115755
0%-19%;1260;38.7625408863608, -9.11669465433077
+100%;100;41.1326351291156, -8.05019580541216
20%-39%;250;41.207121683214, -8.65507702109698
60%-79%;630;41.1534292472117, -8.653317669798
20%-39%;630;41.5603176621683, -8.60439728948438
20%-39%;50;39.6826715106745, -7.89121970692373
20%-39%;250;40.277614564939, -8.45420329517046
0%-19%;250;37.0959960255705, -8.04605761699103
20%-39%;250;37.1143214230702, -7.96009839796441
40%-59%;630;37.1421060651536, -8.02305672563963
40%-59%;400;37.0184005926225, -7.93328123926729
40%-59%;160;37.1905132496961, -8.38370050206834
80%-99%;100;37.1960098354156, -8.15977463397668
60%-79%;250;37.1196447922248, -8.10599770021507
20%-39%;630;39.2364423739754, -8.69556196528312
20%-39%;50;39.4809470299432, -8.02423139485294
40%-59%;400;38.6285187639608, -9.08668270362637
20%-39%;250;37.9598663930891, -8.84684334642141
20%-39%;250;37.9958025985953, -8.38495503795795
20%-39%;400;40.6336089994494, -7.93029935522269
0%-19%;100;41.1527899014, -7.44148477264784
0%-19%;250;40.6407063687889, -8.45972472378014
40%-59%;100;41.5277860973068, -8.43926444115632
60%-79%;100;38.6132908630841, -7.94331930918364
0%-19%;400;37.1392375993109, -7.59413044561042
80%-99%;160;39.196430031779, -9.33199681009162
20%-39%;400;38.7069353152752, -9.16232845481941
40%-59%;400;38.7223068455935, -9.30454702817538
20%-39%;100;39.3830526039235, -7.348136786722
20%-39%;400;39.0219826477459, -9.15532969311612
40%-59%;400;41.287439813062, -8.09608050305464
20%-39%;400;41.2033448555598, -8.62481494309224
40%-59%;250;41.5539568842104, -8.57017853174931
60%-79%;200;40.2090304700951, -8.41356854538294
20%-39%;50;39.8210406836803, -7.70071005498103
20%-39%;100;37.2955482318565, -8.55411615607811
40%-59%;50;37.1490854695606, -7.90760817607269
60%-79%;250;41.3731977546187, -8.74687663214559
20%-39%;400;41.1826439846436, -8.59793312451098
40%-59%;160;39.5370730408205, -8.1588454080487
40%-59%;400;39.4854273947178, -8.18992391640121
40%-59%;250;38.55827189996, -8.99236055150224
60%-79%;100;41.6599065945475, -8.57070573738333
80%-99%;100;40.6938475650669, -7.90530220053082
20%-39%;160;40.5779425135831, -8.63256496130849
0%-19%;630;40.9037131183736, -8.49113317259549
20%-39%;250;40.9285317111984, -8.43247309102022
20%-39%;250;41.8040990089858, -6.7568447394892
0%-19%;250;40.1855496635574, -8.35022109792408
60%-79%;500;38.5774879906986, -7.89688530101126
40%-59%;400;39.4370669090228, -9.21638985529316
20%-39%;100;39.5143382536659, -8.79253351623967
60%-79%;250;39.7488627798119, -8.89905328576458
20%-39%;100;38.7391248055893, -9.14576637188238
40%-59%;100;39.8799659604216, -8.75575314084959
20%-39%;150;38.7051756058844, -9.25748744351868
60%-79%;500;37.0498724454023, -8.0587441285881
+100%;160;37.1805902383485, -8.32425235182613
40%-59%;100;38.9789687059668, -8.29721955395523
60%-79%;100;39.6260377892753, -8.61994587821279
+100%;50;41.4518748717122, -7.90915976237002
60%-79%;100;40.6215937197468, -7.7049038638977
20%-39%;100;40.7814406064632, -8.41946961888942
0%-19%;160;40.6449016080691, -8.30011080002926
20%-39%;250;41.4202877483601, -8.51972322369633
60%-79%;50;40.0296006984023, -8.83366081473002
20%-39%;250;38.7098247883348, -7.5657516655594
20%-39%;250;40.3232247224875, -6.84988390869641
20%-39%;30;41.0931167466806, -7.28619220344832
40%-59%;100;39.4964004957942, -8.79295229691774
20%-39%;630;38.7268677697356, -9.14448704217938
+100%;630;38.7696529107577, -9.21448372946843
20%-39%;50;37.4374982959919, -8.66183689337487
0%-19%;630;41.5619098049406, -8.60874067280974
60%-79%;400;37.0536769027003, -7.74650451880844
40%-59%;250;37.1886566015119, -8.58490784188595
40%-59%;160;41.414119161037, -8.67185436313004
60%-79%;100;40.4180987394632, -8.15058659555274
80%-99%;100;41.5712787517223, -6.31503600311026
20%-39%;630;41.5600936322279, -8.43488929481624
40%-59%;250;40.0731027133997, -8.64555598540596
60%-79%;500;38.700975284085, -9.3812622625409
60%-79%;400;38.7240005980384, -9.35851448366564
40%-59%;100;39.3689729562233, -7.3834786373981
40%-59%;400;41.2366233187041, -8.66337135912948
40%-59%;160;37.0874451547053, -7.99613181598569
0%-19%;630;37.1504963439967, -8.30534466150068
0%-19%;630;41.3668450811781, -8.67011702796526
20%-39%;630;41.1762092546503, -8.64398879284981
20%-39%;630;41.0645142337265, -8.61869354937562
20%-39%;400;41.0283003503413, -8.62527491238923
40%-59%;250;41.3415868725662, -8.49402869661371
20%-39%;100;38.9393532512024, -8.79634597932101
60%-79%;100;39.234969420856, -8.63876115735536
40%-59%;160;41.6771071295675, -8.76383829824358
0%-19%;630;41.2801751458058, -7.72624997283162
0%-19%;250;40.6738509160196, -7.8778779585057
20%-39%;400;40.6303563140837, -8.59518969671652
0%-19%;250;40.8562813752807, -8.46761929545529
60%-79%;50;41.5741178843877, -6.86295838971694
80%-99%;400;41.8092280321731, -6.75159877539894
20%-39%;50;40.4505812159416, -7.24375407482034
20%-39%;630;41.148121311554, -8.61797765678883
20%-39%;50;37.4113523848912, -8.47016168782422
40%-59%;160;40.0088326595333, -7.84465792719878
20%-39%;100;39.6888571219213, -7.67295959877578
20%-39%;100;37.1402832961334, -8.49749529366946
0%-19%;630;41.175547512229, -8.63333954514249
0%-19%;100;39.5586887979267, -8.07337606061737
20%-39%;630;38.5313804369911, -8.8675965438826
0%-19%;160;38.4373386134051, -9.19634653001491
60%-79%;100;40.6636149367483, -7.88178112079874
60%-79%;100;40.6426098866276, -7.67520186088915
80%-99%;100;41.5699540714853, -6.98597603886831
20%-39%;160;41.4290275605124, -8.21187471566384
80%-99%;160;40.3782357135492, -7.8445550156185
20%-39%;100;39.5435576485279, -8.97756355694635
40%-59%;250;39.7557625396915, -8.93529152007529
40%-59%;100;39.9701988732786, -8.1504488552599
0%-19%;250;39.2621788966478, -9.3105728854923
40%-59%;160;41.1743923005321, -8.4331026608445
40%-59%;250;38.0133912285546, -7.86812122117103
40%-59%;160;41.6046932409872, -8.58460215815618
0%-19%;50;37.748192465296, -8.34909319553003
60%-79%;100;41.3738081037222, -7.0871076843953
20%-39%;630;40.2299271028821, -8.43839105053919
20%-39%;400;39.8150774975065, -7.51190118735038
20%-39%;100;41.8974241715098, -6.94871107813099
0%-19%;100;37.0752409589236, -7.97627270780244
40%-59%;630;37.1310581123919, -7.64566251549985
60%-79%;630;37.0883644298953, -8.03498035501038
0%-19%;630;41.139226276663, -8.6504778097531
0%-19%;250;39.547042979603, -8.32151086598422
0%-19%;880;38.6670557403251, -9.07240265537671
40%-59%;400;38.6779246138611, -9.15869305829044
20%-39%;250;41.4742083036493, -8.12274165263105
0%-19%;630;38.7858261768681, -9.15002643636033
0%-19%;630;38.7367401061401, -9.38482293935237
40%-59%;1260;38.7116007091285, -9.20906164987676
40%-59%;630;38.784745234491, -9.14493005742195
20%-39%;630;38.7700108318921, -9.22562778933693
+100%;160;41.1712960071021, -8.13164693518359
40%-59%;400;41.5278627732648, -8.66946951782572
20%-39%;250;40.0063305298293, -7.66182434028424
0%-19%;25;37.2262923765196, -7.82321843883531
40%-59%;400;41.4447236368439, -8.74851274572641
40%-59%;250;41.2943784748379, -8.73490345409116
20%-39%;250;41.4027527102144, -8.6353522598448
20%-39%;250;38.8733904858116, -8.72608229148906
20%-39%;400;38.071632356598, -8.64951844660727
40%-59%;250;38.6605939261576, -9.05705495097789
40%-59%;250;38.6282261013358, -9.20288808790882
20%-39%;100;41.1933356337459, -7.77305516869877
0%-19%;630;41.8021934829081, -8.41196631857021
20%-39%;160;39.8967563813536, -8.37366246924118
20%-39%;160;39.540363210168, -9.08656384844906
40%-59%;250;38.9411654212149, -9.20120762541113
40%-59%;630;38.7542678582178, -9.16890506918625
0%-19%;250;38.8680117033255, -7.17331368096089
0%-19%;630;38.8775541230747, -9.08316499125507
60%-79%;400;41.2888960050404, -8.21001130111944
0%-19%;250;41.3748250912369, -8.21419788071505
0%-19%;50;37.8593339843006, -7.40735500300477
80%-99%;100;39.269183279019, -8.59369068402949
40%-59%;250;38.613321350321, -9.1298224408428
20%-39%;50;41.164306456285, -7.63706017436678
40%-59%;100;41.69925598926, -8.09154073516341
40%-59%;100;41.6728736270916, -7.61630010575364
40%-59%;1030;39.2072432687741, -8.62245274084093
+100%;100;40.6776486662605, -7.74276311505343
0%-19%;160;40.6110566734742, -7.7419787312754
60%-79%;100;40.723997639474, -7.67178748960258
60%-79%;100;41.5040636977282, -7.20757879680362
60%-79%;250;41.4305263464213, -8.3892596315123
40%-59%;400;38.5631496393295, -7.90644137685882
20%-39%;2520;38.7735683089947, -9.09849150504441
20%-39%;400;38.8542340941986, -9.2134309156248
60%-79%;250;38.7945770716307, -9.38502927419946
40%-59%;160;39.2211769879973, -9.30521706641384
20%-39%;630;38.7447836731741, -9.19780471656265
0%-19%;400;39.0909585324197, -9.25832533864759
60%-79%;250;37.9267814607306, -7.78926238035
0%-19%;50;37.6986801373769, -8.03381596946669
20%-39%;25;37.3025558210365, -7.97939338897704
0%-19%;50;37.3755194090202, -7.69681010566436
20%-39%;800;37.1053250333646, -8.36261141261579
20%-39%;250;41.3375417786478, -8.68392352104707
40%-59%;100;41.2763811625588, -8.44750441531203
0%-19%;630;39.466661633893, -8.21268757672741
40%-59%;160;38.9704739207923, -8.80595847598148
40%-59%;630;39.6356736333467, -8.67869190476293
20%-39%;250;40.9090462590093, -7.8404516953334
0%-19%;100;40.7301010643999, -8.08228457644531
20%-39%;250;40.6773371050853, -8.59429982571688
40%-59%;100;41.7288633705492, -8.42881512588132
0%-19%;100;40.1382505309116, -8.17020986170362
40%-59%;250;39.4192664543865, -9.17567697176504
20%-39%;400;40.53552854333, -7.24247553607095
0%-19%;100;40.0253435120991, -8.73656400887746
40%-59%;400;38.7289916791646, -9.43814711699233
20%-39%;315;39.7423767863532, -8.81151697499814
60%-79%;630;39.361010345256, -9.15672051581596
0%-19%;250;38.781840070193, -9.10865541485602
60%-79%;630;38.7917955719754, -9.31867477460103
60%-79%;500;38.7508484707893, -9.23186763261123
20%-39%;400;38.8932501652839, -9.04082294209497
60%-79%;250;41.3971895034469, -8.20198596063314
0%-19%;50;37.4129450691936, -8.21715389432121
60%-79%;50;37.4839267997865, -8.71341934147585
0%-19%;100;41.128862214281, -7.07581170872067
20%-39%;50;40.1916896411937, -7.52443530067191
60%-79%;50;37.1725745312659, -8.64123536159702
+100%;50;41.8935420335336, -8.76318630163984
20%-39%;880;41.297622862903, -7.73353186680517
60%-79%;250;40.9118073936747, -8.59206714815351
80%-99%;250;40.977683999914, -8.48179078787155
20%-39%;100;40.1379357210222, -8.40254438190154
0%-19%;250;41.1294722085711, -7.11930678110104
20%-39%;100;38.7341304234092, -9.14806244276004
40%-59%;100;39.882014144371, -8.85760940260386
40%-59%;100;38.9784789557927, -9.11828435138863
0%-19%;400;38.7067587973232, -9.16741529698558
0%-19%;500;39.1494253516668, -9.22679581003595
20%-39%;400;39.0623966780522, -7.12090699161739
20%-39%;250;41.2915955279126, -8.261899713656
20%-39%;315;41.2765687546502, -8.60598139875832
60%-79%;250;41.3229577133887, -8.18980484682624
20%-39%;630;38.1362296096722, -6.97706716844853
20%-39%;250;39.9199014711992, -7.90729894241941
0%-19%;400;41.405692480306, -8.76070009833368
40%-59%;250;39.5548765063583, -8.44032050843634
60%-79%;400;38.5481370916525, -9.02167231937896
40%-59%;400;40.4844301553846, -8.09474183358673
20%-39%;50;40.8011868084846, -7.62965253623547
60%-79%;100;40.5281366092487, -7.9213678251324
40%-59%;630;40.9422638089919, -8.65759914271488
0%-19%;160;40.717366667041, -8.37391219800844
80%-99%;160;40.4465088052926, -8.52011945147562
20%-39%;630;38.5435651158133, -7.90234080878878
40%-59%;160;38.9646543012031, -9.04661718189353
0%-19%;2520;38.7450921872407, -9.16035931949626
20%-39%;630;38.707695472986, -9.14821661514509
40%-59%;400;39.9082545919463, -8.63807230200543
20%-39%;100;39.8569116503933, -8.67799709599444
20%-39%;630;38.8824674210066, -7.16436975605668
20%-39%;630;41.1987078193207, -8.63845190483678
80%-99%;630;37.0889418312645, -8.25254747294557
20%-39%;630;37.1054301176581, -8.23701635035103
0%-19%;1260;37.1115961726902, -8.67399575002776
20%-39%;400;41.3312850600108, -8.47669207632816
0%-19%;1260;41.2081927246516, -8.53997734140602
40%-59%;160;39.3323241703048, -8.56013663351554
20%-39%;400;39.6004678187464, -8.40605226665148
60%-79%;250;39.7065117130669, -8.66193355805131
20%-39%;50;41.8842417330409, -8.59198235049119
20%-39%;100;40.7227618443368, -8.11965106430075
60%-79%;250;40.6139359281871, -8.63541723340979
80%-99%;100;40.8144989746741, -8.5621869080164
0%-19%;160;40.9010660817029, -8.32399025098668
0%-19%;100;41.4972033327506, -8.24473447744752
20%-39%;630;41.6322690989932, -8.14182339701945
20%-39%;630;41.5358843695995, -8.43194078755132
0%-19%;160;38.8468975799548, -7.46375937335273
20%-39%;250;40.2190331820897, -8.24320673641364
40%-59%;100;39.3431922793896, -9.19777297914141
20%-39%;800;39.0933863253038, -9.25506236298197
40%-59%;400;38.8919702306564, -7.15191590393816
80%-99%;200;41.3287837447227, -8.26080051841888
40%-59%;630;41.1913175985216, -8.6329619103422
60%-79%;315;41.0897336418871, -8.49321866158945
0%-19%;100;38.9435141847477, -7.67740134717426
0%-19%;630;41.5226588461865, -8.6249822580905
20%-39%;250;39.9081134710817, -8.13232581778483
40%-59%;100;37.1277433067373, -8.04227233981672
40%-59%;630;41.2229281838294, -8.55209714014063
20%-39%;250;39.6788305675766, -8.5721882460079
40%-59%;50;41.7186614293439, -8.02431785942301
20%-39%;250;41.5784283378425, -8.42398470106085
20%-39%;160;41.4425834156803, -8.46960234218778
20%-39%;160;41.5982576476255, -8.79569622438973
20%-39%;50;38.7489397398284, -8.25958255789686
40%-59%;100;40.0286694641244, -8.59510388862908
40%-59%;250;37.1705350272827, -7.5128656478268
20%-39%;1260;38.7529261109617, -9.12335723879431
0%-19%;630;38.7623608807494, -9.17502116094644
20%-39%;630;38.7246675593169, -9.16935144743558
20%-39%;630;39.054259134336, -7.43964906965904
40%-59%;630;38.895980319014, -9.03549647908682
60%-79%;100;41.2714267651662, -8.37923240267849
40%-59%;250;41.2801614121954, -8.25341724053749
20%-39%;250;40.1458358450762, -7.47040938659175
80%-99%;100;37.0584992334594, -7.85834301360033
0%-19%;630;37.1377750360395, -8.69002793612277
80%-99%;100;37.2118177298187, -8.30867429643871
60%-79%;100;37.157490644064, -8.72205588347201
40%-59%;160;39.5151008218066, -8.09956560758633
20%-39%;160;39.1461486975234, -8.83588663604353
